product_name,price,sku,unit_size,unit_type
PAPEL DE BALA VERDE CLARO 20/48 CNT,0.01,7896842305105,20/48 CT,UNIT
PAPEL DE BALA ROXO CLARO 20/48 CNT,0.01,7896842305143,20/48CT,UNIT
PAPEL DE BALA ROSA ESCURO 20/48 CT,0.01,7896842305150,20/48 CT,UNIT
PAPEL DE BALA LILAS 20/48 CT,0.01,7896842305174,20/48CT,UNIT
PAPEL DE BALA VERDE MUSGO 20/48CT,0.01,7896842305679,20/48 CT,UNIT
TAPETINHO #7 METALIZADO 10/100 CT,0.01,7896842307987,10/100 CT,UNIT
AROMA DE MINAS DEDO MOCA 24/170G,0.01,,24/170G,CASE
SAB MINEIRO PIM. BODE VERMEL 24/120,0.01,011789828874163,24/120G,CASE
SAB MINEIRO PIM. BODE VERMEL 24/300,0.01,011789828874383,24/300,CASE
CASTELO VINAGRE DE ALCOOL 12/750ML,0.01,178960482000,12/750ML,CASE
SAB MINEIRO CHIMICHURI GRANEL 4/1KG,0.01,47896832703001,4/1KG,CASE
SAB MINEIRO ACAFRAO 12/400G,0.01,7898288740014,12/400G,CASE
SAB MINEIRO PIM. MALAGUETA 12/850G,0.01,7898288740199,12/850G,CASE
SAB MINEIRO MOLHO INGLES 24/145ML,0.01,7898288740298,24/145ML,CASE
SAB MINEIRO MOLHO DE ALHO 24/145ML,0.01,7898288740304,24/145ML,CASE
SAB MINEIRO MOLHO PIMENTA 24/145M,0.01,7898288740366,24/145ML,CASE
SAB MINEIRO TEMPERO ALHO/SAL 12/1KG,0.01,7898288740533,12/1KG,CASE
SAB MINEIRO TEMPERO ALHO/SAL 24/300,0.01,7898288740540,24/300G,CASE
SAB MINEIRO TEMPERO COMPLETO 24/300,0.01,7898288740755,24/300G,CASE
SAB MINEIRO TEMPERO COMPLETO 12/1KG,0.01,7898288740779,12/1KG,CASE
SAB MINEIRO PIM. MALAGUETA 24/70G,0.01,7898288740892,24/30G,CASE
SAB MINEIRO PIM. DEDO MOCA 24/300G,0.01,7898288740977,24/300G,CASE
SAB MINEIRO SACO P/GELINHO 1/10/100,0.01,7898288741011,1/10/100,CASE
SAB MINEIRO PIM. DE BICO 24/300G,0.01,7898288741158,24/300G,CASE
SAB MINEIRO PEQUI FATIADO 24/300G,0.01,7898288741226,24/300G,CASE
SAB MINEIRO MOLHO SHOYU 24/145ML,0.01,7898288741363,24/145ML,CASE
SAB MINEIRO GUARIROBA 15/480G,0.01,7898288741370,15/480G,CASE
SAB MINEIRO PIM. CUMARI PARA 24/300,0.01,7898288741530,24/300G,CASE
SAB MINEIRO PIM BODE AMARELO 24/300,0.01,7898288741554,24/300G,CASE
SAB MINEIRO PIM. MALAGUETA 24/300G,0.01,7898288741561,24/300G,CASE
SAB MINEIRO PIM. MALAGUETA 24/120G,0.01,7898288741622,24/120G,CASE
SAB MINEIRO PIM BODE AMARELO 24/120,0.01,7898288741646,24/120G,CASE
SAB MINEIRO PIM. CUMARI PARA 24/120,0.01,7898288741653,24/120G,CASE
SAB MINEIRO PIM. CUMARI VERM 24/120,0.01,7898288741660,24/120G,CASE
SAB MINEIRO PIM. MISTA 24/300G,0.01,7898288741677,24/300G,CASE
SAB MINEIRO AZEITE DENDE 24/145ML,0.01,7898288741776,24/145ML,CASE
SAB MINEIRO AZEITE DENDE 12/880ML,0.01,7898288741806,12/880ML,CASE
SAB MINEIRO PIM. BODE VERMEL 12/780,0.01,7898288741974,12/780G,CASE
SAB MINEIRO JURUBEBA 24/300G,0.01,7898288741998,24/300G,CASE
SAB MINEIRO PIM. DE BICO 6/2.8KG,0.01,7898288742032,6/2.8KG,CASE
SAB MINEIRO PIM. DE BICO 24/210G,0.01,7898288742070,24/210G,CASE
SAB MINEIRO PEQUI EM CAROCO 15/480g,0.01,7898288742223,15/480G,CASE
SAB MINEIRO MANTEIGA GARRAFA 24/200,0.01,7898288742520,24/200ML,CASE
SAB MINEIRO PIM. MALAGUETA 24/210G,0.01,7898288743107,24/210G,CASE
SAB MINEIRO TEMPERO S/PIMENTA24/300,0.01,7898288743312,24/300G,CASE
SAB MINEIRO PIM. CUMARI VERD 24/120,0.01,7898288743404,24/120G,CASE
SAB MINEIRO PEQUI FATIADO 15/480G,0.01,7898288743572,15/480G,CASE
SAB MINEIRO PIM. BODE VERM 6/2.8KG,0.01,7898288743695,6/2.8KG,CASE
SAB MINEIRO JILO FATIADO 15/480G,0.01,7898288743992,15/480G,CASE
SAB MINEIRO JILO INTEIRO 15/480G,0.01,7898288744005,15/480G,CASE
SAB MINEIRO PIM. MISTA POTAO 6/2KG,0.01,7898288744258,6/2KG,CASE
SAB MINEIRO PIM. MALAGUETA 6/2.6KG,0.01,7898288744289,6/2.6KG,CASE
SAB MINEIRO ACAFRAO 24/60G,0.01,7898288745712,24/60G,CASE
SAB MINEIRO TEMPERO S/PIMENTA12/1KG,0.01,7898288745781,12/1KG,CASE
BG FAROFA BACON 18/300,0.01,,18/300G,CASE
BG SAL HIMALAIA 6/250G,0.01,,6/250G,CASE
BOM GOSTO BATATA PALHA XFINA 20/90G,0.01,,20/90G,CASE
BOM GOSTO BATATA PALHA FINA 20/90G,0.01,,20/90G,CASE
BG PIMENTA PRETA REINO POTE 12/30G,0.01,,12/30G,CASE
BG CANELA EM PO POTE 12/30G,0.01,,12/30G,CASE
BG OREGANO 10/10G,0.01,,10/10G,CASE
BG PIMENTA DO REINO 10/30G,0.01,,10/30G,CASE
BG BICARBONATO DE SODIO 10/30G,0.01,,10/30G,CASE
BG CRAVO DA INDIA 10/15G,0.01,,10/15G,CASE
BG LOURO EM FOLHAS 10/6G,0.01,,10/6G,CASE
BG TEMPERO DE FRANGO 10/30G,0.01,,10/30G,CASE
BG TEMPERO DE PEIXE 10/30G,0.01,,10/30G,CASE
BG TEMPERO DE CARNE 10/30G,0.01,,10/30G,CASE
BG CHIMICHURRI 10/30G,0.01,,10/30G,CASE
BG TEMPERO LEMON/PEPPER 10/30G,0.01,,10/30G,CASE
BG COLORIFICO 10/50G,0.01,,10/50G,CASE
BG COMINHO 10/10G,0.01,,10/10G,CASE
BG CRAVINHO 10/30G,0.01,,10/30G,CASE
BG PIMENTA CALABRESA 10/10G,0.01,,10/10G,CASE
BG TEMPERO BAIANO 10/30G,0.01,,10/30G,CASE
BG PAPRICA DOCE 10/30G,0.01,,10/30G,CASE
BG PAPRICA PICANTE 10/30G,0.01,,10/30G,CASE
BG ALHO FRITO 10/20G,0.01,,10/20G,CASE
BG TEMPERO GAUCHO 10/30G,0.01,,10/30G,CASE
BG ALECRIM 10/18G,0.01,,10/18G,CASE
BG ERVA DOCE 10/30G,0.01,,10/30G,CASE
BG TAPIOCA 24/500G,0.01,,24/500G,CASE
BG TAPIOCA QUEIJO PROMO 24/500G,0.01,,24/500G,CASE
BG SAL COMPLETO 20/500G,0.01,17898061680237,20/500G,CASE
BG TEMPERO ALSO SAL 12/270G,0.01,17898061680374,12/270G,CASE
BG TEMPERO S/PIMENTA 12/270G,0.01,17898061680381,12/270G,CASE
BG TEMPERO C/PIMENTA 12/270G,0.01,17898061680398,12/270G,CASE
BG SAL C/ALHO 20/500G,0.01,17898061680565,20/500G,CASE
BG SAL ESPECIAIS 20/500G,0.01,17898061680572,20/500G,CASE
BG SAL ERVAS FINAS 20/500G,0.01,17898061680763,20/500G,CASE
BG FAROFA TRADITIONAL 18/300,0.01,17898061680916,18/300G,CASE
BG FAROFA PICANTE 18/300,0.01,17898061680923,18/300G,CASE
BG SAL CHIMICHURRI 20/500G,0.01,17898061681937,20/500G,CASE
BG FAROFA COSTELINHA 18/300,0.01,17898061682408,18/300G,CASE
SM POLVILHO AZEDO PREMIUM 10/1KG,0.01,,10/1KG,CASE
SM POLVILHO DOCE PREMIUM 10/1KG,0.01,,10/1KG,CASE
SM FARINHA AMARELA GROSSA 20/1KG,0.01,,20/1KG,UNIT
SM FARINHA BRANCA FINA 20/1KG,0.01,,20/1KG,UNIT
SM AMIDO MAIS #75 25KG,0.01,7896035921099,25KG,UNIT
SM POLVILHO DOCE 10/1KG,0.01,7896035921143,10/1KG,CASE
SM POLVILHO AZEDO 10/1KG,0.01,7896035921150,10/1KG,CASE
SM POLVILHO DOCE 25KG,0.01,7896035922010,25KG,UNIT
SM POLVILHO AZEDO 25KG,0.01,7896035922027,25KG,UNIT
SM MISTURA PAO QUEIJO 10/1KG,0.01,7896035930077,10/1KG,CASE
SM MASSA PARA TAPIOCA 21/500GR,0.01,7896035990101,21/500GR,CASE
YOKI FARINHA BRANCA 24/500G,0.01,,24/500G,CASE
YOKI COLORIFICO 12/400G 3224,0.01,,12/400G,CASE
YOKITOS ONDULADA CEBOLA/SALSA,0.01,,36/45G,CASE
YOKITOS ONDULADA CHURRASCO 36/45G,0.01,,36/45G,CASE
YOKITOS ONDULADA NATURAL 36/45G,0.01,,36/45G,CASE
YOKI PAO DE QUEIJO BAG 30/250G 0007,0.01,015789109530007,30/250G,CASE
YOKI CANJICA CRISTAL 16/400G 3209,0.01,17891095911261,16/400G,CASE
YOKI PIPOCA 28/400G,0.01,17891095911353,28/400G,CASE
YOKI COLORIFICO 12/800G 3225,0.01,17891095911384,12/800G,CASE
YOKI FAROFA PRONTA MILHO12/400G 713,0.01,17891095911445,12/400GR,CASE
YOKI FAROFA MAND. TEMP 24/400GM,0.01,17891095911483,24/400GMS,CASE
YOKI FAROFA MAND. TEMPERADA 14/800G,0.01,17891095911490,14/800G,CASE
YOKI BATATA PALHA TRAD 12/380G,0.01,27891095911619,12/380G,CASE
YOKI FUBA PRE COZIDO 12/1KG 019,0.01,47891095200199,12/1KG,CASE
YOKI FARINHA MILHO AMAR 12/500G 039,0.01,47891095200397,12/500G,CASE
YOKI FUBA MIMOSO 12/1KG 046,0.01,47891095200465,12/1KG,CASE
YOKI SAGU 12/500G 25049,0.01,47891095300493,12/500G,CASE
YOKI POLVINHO AZEDO 12/500G,0.01,47891095300615,12/500G,CASE
YOKI POLVINHO DOCE 12/500G,0.01,47891095300639,12/500G,CASE
YOKI TRIGO PARA KIBE 12/500G 075,0.01,47891095400759,12/500G,CASE
YOKI AMENDOIM DOCE PRALINE 12/150G,0.01,57891095002165,12/150G,CASE
YOKI AMENDOIN JAPONES 12/120G 217,0.01,57891095002172,12/120G,CASE
YOKI CREME DE CEBOLA 12/65G,0.01,57891095003827,12/65G,CASE
YOKI AMENDOIN JAPONES 12/420G 517,0.01,57891095005173,12/420G,CASE
YOKI POLVINHO AZEDO 12/1KG,0.01,57891095005951,12/1KG,CASE
YOKI KIMILHO FLOCAO 12/500GR 687,0.01,57891095006873,12/500GR,CASE
YOKI PACOQUINHA ROLHA 12/352G 796,0.01,57891095007962,12/352G,CASE
YOKI PACOQUINHA TABLETE 12/352G 797,0.01,57891095007979,12/352G,CASE
YOKI PE DE MOLEQUE 12/306G 798,0.01,57891095007986,12/306G,CASE
YOKI CASTANHA CAJU 12/100G 1132,0.01,57891095011327,12/100G,CASE
YOKI AMENDOIM 12/500G 1160,0.01,57891095011600,12/500G,CASE
YOKI OVINHO AMENDOIM 25/90G 2307,0.01,57891095023078,25/90G,CASE
YOKITOS QUEIJO CONCHINA 30/54G 2318,0.01,57891095023184,30/54G,CASE
YOKITOS QUEIJO CONCHINA 16/153 2319,0.01,57891095023191,16/153G,CASE
YOKITOS PRESUNTO 30/54G 2427,0.01,57891095023207,30/54G,CASE
YOKITOS PRESUNTO 16/153G 2428,0.01,57891095023214,16/153G,CASE
YOKITOS REQUEIJAO 16/135G 2430,0.01,57891095023238,16/135G,CASE
YOKITOS QUEIJO BOLINHOS 36/45G 2326,0.01,57891095023269,36/45G,CASE
YOKITOS QUEIJO TUBINHO 36/45G 2327,0.01,57891095023276,36/45g,CASE
YOKITOS ANEIS CEBOLA 24/54GR 2331,0.01,57891095023313,24/54GR,CASE
YOKI AMENDOIM JAPONES 15/800G,0.01,57891095030229,15/800G,CASE
YOKI BATATA PALHA 20/105G 29702,0.01,57891095031110,20/105G,CASE
YOKI BATATA PALHA EXTRA FINA 29701,0.01,57891095031127,20/100GR,CASE
YOKI PAO DE QUEIJO 6/1KG 25807,0.01,57891095031363,6/1KG,CASE
YOKI CANJICA AMARELA 12/500G 011,0.01,57891095100113,12/500G,CASE
YOKI CANJIQUINHA 12/500G 031,0.01,57891095100311,12/500G,CASE
YOKI KITANO TEMPERO BAIANO 24/40G,0.01,57891095159500,24/40G,CASE
YOKI FUBA MIMOSO 24/500G 045,0.01,57891095200455,24/500G,CASE
YOKI KIMILHO 24/500GR 25087,0.01,57891095200875,24/500GR,CASE
YOKI AMIDO MILHO 12/500G,0.01,57891095263573,12/500G,CASE
YOKI FARINHA TORRADA 24/500G,0.01,57891095300384,24/500G,CASE
YOKI TAPIOCA GRANULADA 12/500G 064,0.01,57891095300643,12/500G,CASE
YOKI POLVINHO DOCE 12/1KG,0.01,57891095378635,12/1KG,CASE
YOKI FARINHA DE ROSCA 24/500G 042,0.01,57891095400428,24/500G,CASE
PRINCESA FARINHA AMARELA 10/1KG,0.01,,10/1KG,CASE
POLENTINA QUAKER 30/500G,0.01,07894321631214,30/500G,CASE
FARINHA MANDIOCA EMILIA 10/1KG,0.01,080046144326,10/1KG,CASE
FARINHA MANDIOCA JULIA 10/1KG,0.01,080046144326,10/1KG,CASE
FARINHA MANDIOCA EMILIA TORRADA,0.01,080046144333,10/1KG,CASE
FARINHA MANDIOCA JULIA TORRADA10/1K,0.01,080046144333,10/1KG,CASE
MILHARINA QUAKER 30/500G,0.01,57894321632037,30/500G,CASE
AURORA UVA LATA C/GAS 12/269ML,0.01,,12/269ML,CASE
AURORA UVA INTEGRAL 6/1.5LT VIDRO,0.01,17891141019835,6/1.5LT,CASE
AURORA UVA BRANCA 6/1.5LT VIDRO,0.01,17891141025577,6/1.5 LT,CASE
AURORA UVA INTEGRAL 12/300ML VIDRO,0.01,17891141025638,12/300ML,CASE
AURORA UVA INTEGRAL GAS 24/275 VIDR,0.01,17891141032216,24/275ML,CASE
AURORA UVA INTEGRAL 6/1LT VIDRO,0.01,27891141024225,6/1 LT,CASE
BETTANIN PA E ESCOVA 120E,0.01,17896001001203,12 PC.,CASE
SANTA MARIA RODO 30CM 12PC,0.01,17896314703511,12 PECAS,CASE
SANTA MARIA RODO 40 CM 12PCS,0.01,17896314703528,12PECAS,CASE
SANTA MARIA RODO 60CM 12PCS,0.01,17896314703535,12 PECAS,CASE
SANTA MARIA VASSOURAO TERREIRO 463,0.01,17896314704631,12 PC,CASE
SANTA MARIA BUCHA VEGETAL ROUND 722,0.01,17896314707229,24 PC,CASE
BETTANIN DESENTUPIDOR TURBO 499E,0.01,27896001004997,12 PCS.,CASE
CH MAVALERIO POWER BALL 12/500 4155,0.01,17896072641551,12/500G,CASE
CH MAVALERIO CH MICANGA 10/500 4180,0.01,17896072641803,10/500G,CASE
CH MAVALERIO CHOC MACIO 20/500 4270,0.01,17896072642701,20/500G,CASE
CH MAVALERIO GRAN CROC 20/500G 4273,0.01,17896072642732,20/500GR,CASE
CH MAVALERIO FLOCO MACIO 20/500 274,0.01,17896072642749,20/500G,CASE
CH MAVALERIO GRANULADO 24*150G 4675,0.01,17896072646754,24*150G,CASE
CH MAVALERIO MESCLADO CROCANTE,0.01,17896072646778,24/150G,CASE
CH MAVALERIO ACUCAR CONFEITEIRO,0.01,178960726492,20/500G,CASE
CH MAVALERIO COBERTURA MARSHMALLOW,0.01,17896072649281,12/400G,CASE
CH MAVALERIO MARACUJA EM PO 24/100G,0.01,17896072649304,24/100G,CASE
CH MAVALERIO CHANTILLY MARACUJA,0.01,1789607264948,24/80G,CASE
CH MAVALERIO BARRA BRANCA 10/1 9231,0.01,17896072692317,10/1KG,CASE
CH MAVALERIO BARRA LEITE 10/1KG,0.01,17896072692324,10/1KG,CASE
CH MAVALERIO BARRA M AMARG10/1 9233,0.01,17896072692331,10/1KG,CASE
BOCA FORNO SUSPIRO 25/160G,0.01,17898091151134,25/160G,CASE
PAO DE QUEIJO 20KG,0.01,,20KG,UNIT
PINDUCA PROMO PACKAGE,0.01,,,CASE
PINDUCA FLOCAO 20/500G,0.01,,20/500G,CASE
PINDUCA SAL PARRILLA P/ CHURRASCO,0.01,,6/500G,CASE
PINDUCA SAL PARRILLA CHIMICHURRI,0.01,,6/450G,CASE
PINDUCA SAL PARRILLA C/ ALHO,0.01,,6/500G,CASE
PINDUCA FARINHA PANKO 12/200G,0.01,,12/200G,CASE
PINDUCA FAROFA MANDIOCA 12/400G,0.01,7896015911584,12/400G,CASE
PINDUCA FAROFA MILHO 1607 12/400G,0.01,7896015911607,12/400G,CASE
PINDUCA FAROFA BACON 1751 12/250G,0.01,7896015911751,12/250G,CASE
PINDUCA FAROFA CALABRESA12/250 1850,0.01,7896015911850,12/250G,CASE
PINDUCA FAROFA PICANHA 12/250G 1959,0.01,7896015912444,12/250G,CASE
PINDUCA FAROFA BBQ 12/250G 2055,0.01,7896015912451,12/250G,CASE
PINDUCA FAROFA CARNE SECA 12/250G,0.01,7896015912468,12/250G,CASE
PINDUCA FAROFA CEBOLA CROC. 12/200G,0.01,7896015912536,12/200G,CASE
PINDUCA FAROFA MAND CROCANTE 12/200,0.01,7896015912574,12/200G,CASE
PINDUCA MAND FARINHA AMARELA 10/1KG,0.01,7896015921309,10/1KG,CASE
PINDUCA FARINHA MILHO BIJU 20/500G,0.01,7896015921927,20/500G,CASE
PINDUCA AMENDOIN VERMELHO 10/500G,0.01,7896015930103,10/500G,CASE
PINDUCA AMENDOIN BRANCO 10/400G,0.01,7896015930578,10/400G,CASE
PINDUCA PIPOCA 10/500G,0.01,7896015950040,10/500G,CASE
PINDUCA SAGU 12/400GR,0.01,7896015960025,12/400GR,CASE
PINDUCA CANJICA BRANCA 20/400G,0.01,7896015960148,20/400G,CASE
PINDUCA CANJICA AMARELA 10/500G,0.01,7896015960155,10/500G,CASE
PINDUCA CANJIQUINHA 12/400G,0.01,7896015960223,12/400G,CASE
PINDUCA TRIGO PARA KIBE 10/500G,0.01,7896015960827,10/500G,CASE
PINDUCA POLVILHO AZEDO 25KG,0.01,7896015970932,25KG,CASE
PINDUCA POLVILHO DOCE 25KG,0.01,7896015970949,25KG,CASE
PINDUCA POLVILHO DOCE 12/1KG,0.01,7896015971144,12/1KG,CASE
PINDUCA POLVILHO AZEDO 10/1KG,0.01,7896015971151,10/1KG,CASE
PINDUCA CHEESEBREAD PQ4444 - 25KG,0.01,7896015971571,25KG,CASE
PINDUCA POLVILHO DOCE FECULA 25KG,0.01,7896015971670,25KG,CASE
PINDUCA CHEESEBREAD PQ6025 - 25KG,0.01,7896015971854,25KG,CASE
PINDUCA PAO DE QUEIJO 10/1KG,0.01,7896015971922,10/1KG,CASE
PINDUCA AMIDO DE MILHO 20/500G,0.01,7896015973322,20/500G,CASE
PINDUCA CORN STARCH 25KG,0.01,7896015973339,25KG,CASE
PINDUCA FECULA MIX TAPIOCA 20/500G,0.01,7896015975722,20/500G,CASE
PINDUCA BATATA PALHA TRAD 24/100G,0.01,7896015976,24/100G,CASE
PINDUCA FUBA MIMOSO 10/1KG,0.01,7896015976026,10/1KG,CASE
PINDUCA TAPIOCA GRANULADO 10/500G,0.01,7896015976200,10/500G,CASE
PINDUCA FARINHA ROSCA 10/500G,0.01,7896015976231,10/500G,CASE
PINDUCA PAO DE QUEIJO 10/500G,0.01,7896015976613,10/500G,CASE
PINDUCA BATATA PALHA FINA 24/100G,0.01,7896015976880,24/100G,CASE
PINDUCA STARCH PQ55,0.01,7896015980955,25KG,CASE
PINDUCA FLOCOS DE MAND. BIJU 10/500,0.01,896015922078,10/500G,CASE
NESTLE CH PRESTIGIO/CARIBE 30/33GR,0.01,,30/33GR,UNIT
NESTLE NESCAU PO SACHE 12/900G,0.01,,12/900G,CASE
NESTLE CH SENSACAO 24/38GR 14279,0.01,,24/38GR,UNIT
NESTLE PANETTONE ALPINO 18/450G,0.01,,18/450G,CASE
NESTLE PANETONE CHARGE 18/450G,0.01,,18/450G,CASE
NESTLE PANETTONE TRUFADO 18/450G,0.01,,18/450G,CASE
NESTLE MOCA CONDENSED MILK 24/14OZ.,0.01,00028000211080,24/14OZ.,CASE
NESTLE LEITE NINHO 12/12.60OZ,0.01,028000341374,12/12.60OZ,CASE
NESTLE MUCILON -CEREAIS 18/400G,0.01,07891000035849,18/400G,CASE
NESTLE MUCILON -ARROZ /AVEIA 18/400,0.01,07891000040904,18/400G,CASE
NESTLE PASSATEMPO LEITE 54/150 1443,0.01,07891000051443,54/150G,CASE
NESTLE PRESTIGIO RECH 60/140G 9248,0.01,07891000089248,60/140G,CASE
NESTLE MOCA RECHEADO 60/140G 9262,0.01,07891000089262,60/140G,CASE
NESTLE NESCAU BISCOITO 60/140GR,0.01,07891000089286,70/130GR,CASE
NESTLE PASSATEMPO RECH MORA 70/130G,0.01,07891000241301,70/130GR,CASE
NESTLE PASSATEMPO RECH CHOC 70/130G,0.01,07891000241363,70/130G,CASE
NESTLE PASSATEMPO RECH LEITE 70/130,0.01,07891000241387,70/130G,CASE
NESTLE PASSATEMPO CHOC/CHOC 70/130G,0.01,07891000259412,70/130G,CASE
NESTLE CH ESPECIALIDADE 30/251,0.01,07891000325148,30/251GR,CASE
NESTLE MAGGI AMACIANTE DE CARNE,0.01,17891000000097,30/120G,CASE
NESTLE MUCILON -ARROZ 18/400GR,0.01,17891000009243,18/400GR,CASE
NESTLE MUCILON -MILHO 18/400GR,0.01,17891000009250,18/400GR,CASE
NESTLE CREME DE LEITE LATA 48/300G,0.01,17891000012014,48/300G,CASE
NESTLE CREME DE LEITE TP 27/200ML,0.01,17891000012694,27/200ML,CASE
NESTLE CHOCOLATE PADRE PO 25/200G,0.01,17891000045135,25/200G,CASE
NESTLE CALIPSO CHOCOLATE 40/130G,0.01,17891000088972,40/130G,CASE
NESTLE NESTON 3 CEREAIS 18/400G,0.01,17891000358815,18/400G,CASE
NESTLE NESCAU 27/180ML,0.01,17891000359836,27/180ML,CASE
NESTLE BONO MORANGO 66/90G 6734,0.01,17891000376734,66/90G,CASE
NESTLE NEGRESCO RECH 66/90G 6772,0.01,17891000376772,66/90G,CASE
NESTLE NEGRESCO MORANGO 66/90G 6819,0.01,17891000376819,66/90G,CASE
NESTLE BONO CHOCOLATE 66/90G 6857,0.01,17891000376857,66/90G,CASE
NESTLE NESCAU PO 36/350G,0.01,17891000379704,36/350G,CASE
NESTLE NESCAU PO JUMBO 12/670G,0.01,17891000379742,12/670G,CASE
NESTLE CH CHOKITO 30/32GR 299,0.01,7891000003299,30/32GR,UNIT
NESTLE CH LOLLO 30/28G,0.01,7891000092613,30/28GR,UNIT
NESTLE CH SUFLAIR W/LEITE 20/50G,0.01,7891000107843,20/50GR,UNIT
NESTLE CH PRESTIGIO DARK 30/33GR,0.01,7891000118597,30/33GR,UNIT
NESTLE CH PRESTIGIO BRANCO 30/33GR,0.01,7891000251140,30/33GR,UNIT
NESTLE CH CRUNCH 22/22.5GR,0.01,7891000312971,22/22.5GR,UNIT
NESTLE CH SUFLAIR DUO TABLET 16/80G,0.01,7891000329672,16/80G,UNIT
NESTLE CH SUFLAIR 16/80GR 176,0.01,7891000329863,16/80GR,UNIT
NESTLE CH GALAK 16/80GR 058,0.01,7891000368640,16/80GR,UNIT
NESTLE CH DIPLOMATA 16/80G,0.01,7891000368916,16/80G,UNIT
NESTLE CH PRESTIGIO BARRA 16/80G,0.01,7891000368961,16/80g,UNIT
NESTLE CH CLASSIC DUO 14/80G,0.01,7891000369012,14/90G,UNIT
NESTLE CH PRESTIGIO 30/33GR 214,0.01,7891000460214,30/33GR,UNIT
IBITURUNA REQUEIJAO FREE 12/200G,0.01,,12/200G,CASE
IBITURUNA CREME DE LEITE 12/1KG,0.01,,12/1KG,CASE
IBITURUNA CREME DE LEITE 27/200G,0.01,,27/200G,CASE
IBITURUNA MANTEIGA 12/200G,0.01,,12/200G,CASE
IBITURUNA MANTEIGA 12/500G,0.01,,12/500G,CASE
IBITURUNA REQUEIJAO CREMOSO 12/200G,0.01,,12/200G,CASE
IBITURUNA REQUEIJAO CREMOSO 12/400G,0.01,,12/400G,CASE
IBITURUNA LEITE INTEGRAL 12/1LT,0.01,,12/1LT,CASE
IBITURUNA DOCE DE LEITE 12/400G,0.01,,12/400G,CASE
IBITURUNA VITAMINA FRUTAS 27/200ML,0.01,,27/200ML,CASE
IBITURUNA VITAMINA FRUTAS 12/1LT,0.01,,27/200ML,CASE
IBITURUNA FARINHA LACTEA 27/200ML,0.01,,27/200ML,CASE
IBITURUNA MORANGO E BANANA 27/200ML,0.01,,27/200ML,CASE
IBITURUNA MORANGO 27/200ML,0.01,,27/200ML,CASE
IBITURUNA CHOCOLATE 27/200ML,0.01,,27/200ML,CASE
SOCOCO COCO SECO 24/100GR #2203,0.01,17896004400010,24/100GR,CASE
SOCOCO LEITE COCO VIDRO 24/200ML,0.01,17896004400072,24/200ML,CASE
SOCOCO COCO UMIDO/DOCE 24/100G 2206,0.01,17896004400324,24/100G,CASE
SOCOCO COCO FLOCO 24/100G #2301,0.01,17896004400348,24/100G,CASE
SOCOCO AGUA DE COCO TP 24*200ML,0.01,17896004400355,24*200ML,CASE
SOCOCO LEITE COCO TETRA 24/200 1001,0.01,17896004400379,24/200ML,CASE
SOCOCO SWEET FLOCO 24/100G 2308,0.01,17896004400720,24/100G,CASE
SOCOCO MAIS COCO UMIDO DOCE #6252,0.01,17896004400737,24/100G,CASE
SOCOCO LEITE COCO VIDRO 12/500ML,0.01,37896004400083,12/500ML,CASE
SOCOCO LEITE COCO TETRA 12/1L #1000,0.01,37896004401417,12/1LT,CASE
SOCOCO AGUA COCO 12/330ML,0.01,37896004401745,12/330ML,CASE
SOCOCO AGUA DE COCO 12/1L #0550,0.01,37896004401967,12/1LITER,CASE
MABEL RECHEADO CHOCOLATE 40/120g,0.01,05055020110001,40/120g,CASE
MABEL LAMINADO MAIZENA 20/300G,0.01,17896071001950,20/300G,CASE
MABEL LAMINADO LEITE 20/300G,0.01,17896071001974,20/300G,CASE
MABEL LAMINADO CHOCOLATE 20/300G,0.01,17896071003947,20/300g,CASE
MABEL RECHEADO MORANGO 33/140G,0.01,17896071021088,33/140G,CASE
MABEL ROSCA DE COCO 18/600G,0.01,17896071025635,18/600G,CASE
MABEL ROSCA DE LEITE 18/600G,0.01,17896071025642,18/600g,CASE
MABEL ROSCA DE COCO 32/300G,0.01,17896071030004,32/300G,CASE
MABEL ROSCA DE CHOCOLATE 32/300G,0.01,17896071030011,32/300G,CASE
MABEL ROSCA DE LEITE 32/300G,0.01,17896071030028,32/300G,CASE
MABEL ROSCA DE BANANA/CANELA 32/300,0.01,17896071030035,32/300G,CASE
MABEL CREAM CRACKER 244.1 20/300G,0.01,17896071030059,20/300G,CASE
MABEL AGUA & SAL 245.1 20/300G,0.01,17896071030066,20/300G,CASE
MABEL AMNTEIGADO CHOCOLATE 32*/330G,0.01,17896071030073,32/330G,CASE
MABEL AMNTEIGADO LEITE 32*/330G,0.01,17896071030080,32/330G,CASE
MABEL AMNTEIGADO COCO 32*/330G,0.01,17896071030097,32/330G,CASE
NAZINHA POLVILHO ESCALDADO 26/140G,0.01,,26/140G,CASE
NAZINHA POLVILHO PARMESAO 24/150G,0.01,17897042700759,24/150G,CASE
NAZINHA SALGADINHO BACON 30/120G,0.01,17897042701190,30/120G,CASE
NAZINHA SALGADINHO PIMENTA 30/120G,0.01,17897042701213,30/120G,CASE
NAZINHA POLVILHO TRADICIONAL 26/140,0.01,17897042701428,26/140G,CASE
NAZINHA POLVILHO QUEIJO 26/140G,0.01,17897042701442,26/140G,CASE
NAZINHA POLVILHO PAPA OVO 26/140G,0.01,17897042701466,26/140G,CASE
